0 CAT  Abyssinian
1 CAT  Australian Mist
2 CAT  Balinese
3 CAT  Bengal
4 CAT  Birman
5 CAT  Bombay
6 CAT  British Shorthair
7 CAT  Burmese
8 CAT  Burmilla
9 CAT  Cornish Rex
10 CAT  Devon Rex
11 CAT  Egyptian Mau
12 CAT  Exotic Shorthair
13 CAT  Japanese Bobtail
14 CAT  Korat
15 CAT  La Perms
16 CAT  Maine Coon
17 CAT  Manx
18 CAT  Norwegian Forest
19 CAT  Ocicat
20 CAT  Oriental Shorthair
21 CAT  Persian Longhair
22 CAT  Ragdoll
23 CAT  Russian Blue
24 CAT  Scottish Fold
25 CAT  Siamese
26 CAT  Siberian Forest
27 CAT  Singapura
28 CAT  Snowshoe
29 CAT  Somali
30 CAT  Sphynx
31 CAT  Tiffanie
32 CAT  Tonkinese
33 CAT  Turkish Van
34 DOG  Affenpinscher
35 DOG  Afghan Hound
36 DOG  Airedale Terrier
37 DOG  Alaskan Malamute
38 DOG  American Staffordshire Bull Terrier
39 DOG  Anatolian Shepherd Dog
40 DOG  Australian Cattle Dog
41 DOG  Australian Kelpie
42 DOG  Australian Shepherd Dog
43 DOG  Australian Silky Terrier
44 DOG  Australian Terrier
45 DOG  Basenji
46 DOG  Basset Fauve de Bretagne
47 DOG  Basset Hound
48 DOG  Beagle
49 DOG  Bearded Collie
50 DOG  Bedlington Terrier
51 DOG  Belgian Shepherd Dog
52 DOG  Bernese Mountain Dog
53 DOG  Bichon Frise
54 DOG  Bloodhound
55 DOG  Border Terrier
56 DOG  Borzoi
57 DOG  Boston Terrier
58 DOG  Bouvier des Flandres
59 DOG  Boxer
60 DOG  Bracco Italiano
61 DOG  Briard
62 DOG  Brittany
63 DOG  Bull Terrier
64 DOG  Bull Terrier Miniature
65 DOG  Bulldog
66 DOG  Bullmastiff
67 DOG  Cairn Terrier
68 DOG  Cavalier King Charles Spaniel
69 DOG  Cesky Terrier
70 DOG  Chesapeake Bay Retriever
71 DOG  Chihuahua
72 DOG  Chinese Crested
73 DOG  Chow Chow
74 DOG  Clumber Spaniel
75 DOG  Collie
76 DOG  Curly-Coated Retriever
77 DOG  Dachshund
78 DOG  Dalmatian
79 DOG  Dandie Dinmont Terrier
80 DOG  Deerhound
81 DOG  Dobermann
82 DOG  Dogue de Bordeaux
83 DOG  English Setter
84 DOG  English Springer Spaniel
85 DOG  English Toy Terrier (Black & Tan)
86 DOG  Field Spaniel
87 DOG  Finnish Lapphund
88 DOG  Finnish Spitz
89 DOG  Flat-Coated Retriever
90 DOG  Fox Terrier Smooth Coat
91 DOG  Fox Terrier Wire Coat
92 DOG  Foxhound
93 DOG  French Bulldog
94 DOG  German Shepherd Dog
95 DOG  German Short-Haired Pointer
96 DOG  German Spitz Klein
97 DOG  German Wire-Haired Pointer
98 DOG  Golden Retriever
99 DOG  Gordon Setter
100 DOG  Great Dane
101 DOG  Greyhound
102 DOG  Harrier Hound
103 DOG  Hungarian Vizsla
104 DOG  Hungarian Wire-Haired Vizsla
105 DOG  Ibizan Hound
106 DOG  Irish Setter
107 DOG  Irish Terrier
108 DOG  Irish Water Spaniel
109 DOG  Irish Wolfhound
110 DOG  Italian Greyhound
111 DOG  Japanese Akita
112 DOG  Japanese Chin
113 DOG  Japanese Spitz
114 DOG  Keeshond
115 DOG  Kerry Blue Terrier
116 DOG  King Charles Spaniel
117 DOG  Labrador Retriever
118 DOG  Lakeland Terrier
119 DOG  Leonberger
120 DOG  Lhaso Apso
121 DOG  Lowchen
122 DOG  Maltese
123 DOG  Manchester Terrier
124 DOG  Maremma Sheepdog
125 DOG  Mastiff
126 DOG  Newfoundland
127 DOG  Norfolk Terrier
128 DOG  Norwich Terrier
129 DOG  Nova Scotia Duck Tolling Retriever
130 DOG  Old English Sheepdog
131 DOG  Papillon
132 DOG  Parson Jack Russell Terrier
133 DOG  Pharaoh Hound
134 DOG  Pointer
135 DOG  Pomeranian
136 DOG  Poodle Miniature
137 DOG  Poodle Standard
138 DOG  Poodle Toy
139 DOG  Portuguese Water Dog
140 DOG  Pug
141 DOG  Pyrenean Mountain Dog
142 DOG  Rhodesian Ridgeback
143 DOG  Rottweiler
144 DOG  Saluki
145 DOG  Samoyed
146 DOG  Schipperke
147 DOG  Schnauzer Giant
148 DOG  Schnauzer Miniature
149 DOG  Schnauzer Standard
150 DOG  Scottish Terrier
151 DOG  Shar Pei
152 DOG  Shetland Sheepdog
153 DOG  Shih Tzu
154 DOG  Siberian Husky
155 DOG  Skye Terrier
156 DOG  Sloughi
157 DOG  Soft Coated Wheaten Terrier
158 DOG  St Bernard
159 DOG  Sussex Spaniel
160 DOG  Swedish Vallhund
161 DOG  Tenterfield Terrier
162 DOG  Tibetan Mastiff
163 DOG  Tibetan Spaniel
164 DOG  Tibetan Terrier
165 DOG  Weimaraner
166 DOG  Welsh Corgi
167 DOG  Welsh Springer Spaniel
168 DOG  Welsh Terrier
169 DOG  West Highland White Terrier
170 DOG  Whippet
171 DOG  Yorkshire Terrier
172 COW  	Abondance
173 COW  	Adaptaur
174 COW  	Afrikaner
175 COW  	Agerolese
176 COW  	Alambadi
177 COW  	Albera
178 COW  	American Milking Devon
179 COW  	Anatolian Black
180 COW  	Andalusian Black
181 COW  	Angus
182 COW  	Ankole-Watusi
183 COW  	Argentine Criollo
184 COW  	Armorican
185 COW  	Arouquesa
186 COW  	Asturian Valley
187 COW  	Aubrac
188 COW  	Australian Braford
189 COW  	Ayrshire
190 COW  	Bargur
191 COW  	Barzona
192 COW  	Bazadaise
193 COW  	Belgian Blue
194 COW  	Belgian Red
195 COW  	Belmont Red
196 COW  	Belted Galloway
197 COW  	Blaarkop
198 COW  	Black Hereford
199 COW  	Blonde dâ€™Aquitaine
200 COW  	Boran
201 COW  	Brahman
202 COW  	Brangus
203 COW  	Braunvieh
204 COW  	Brava
205 COW  	Brown Swiss
206 COW  	Burlina
207 COW  	Busa
208 COW  	Cachena
209 COW  	Camargue
210 COW  	Canadian Speckle Park
211 COW  	Canadienne
212 COW  	Canchim
213 COW  	Caracu
214 COW  	Casta
215 COW  	Charolais
216 COW  	Chianina
217 COW  	Chinese Black Pied
218 COW  	Corriente
219 COW  	Corsican
220 COW  	Dangi
221 COW  	Danish Red
222 COW  	Deoni
223 COW  	Devon
224 COW  	Dexter
225 COW  	Dhanni
226 COW  	Droughtmaster
227 COW  	Dutch Belted
228 COW  	English Longhorn
229 COW  	Evolene
230 COW  	Finn
231 COW  	Fjall
232 COW  	Fleckvieh
